Marca| Sección| Categoría| Producto| Precio original| Precio reventa| Vínculo| Imagen|
Mattelsa| mujer| Joggers| joggers-negro-icono-64186| 78000| 85800| https://www.mattelsa.net/mujer/joggers-negro-icono-64186| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64186-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-crop-verde-texto-64117| 34000| 37400| https://www.mattelsa.net/mujer/camiseta-crop-verde-texto-64117| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64117-1.jpg|
Mattelsa| mujer| Top| top-tiras-beige-icono-63075| 28000| 30800| https://www.mattelsa.net/mujer/top-tiras-beige-icono-63075| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63075-1.jpg|
Mattelsa| mujer| Top| top-manga-larga-lila-basico-63066| 40000| 44000| https://www.mattelsa.net/mujer/top-manga-larga-lila-basico-63066| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63066-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-marfil-ilustracion-62480| 36000| 39600| https://www.mattelsa.net/mujer/camiseta-marfil-ilustracion-62480| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62480-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-negro-texto-60512| 34000| 37400| https://www.mattelsa.net/mujer/camiseta-negro-texto-60512| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/0/60512-1.jpg|
Mattelsa| mujer| Leggings| leggings-deportivos-azul-cortes-66231| 58000| 63800| https://www.mattelsa.net/mujer/leggings-deportivos-azul-cortes-66231| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66231-1.jpg|
Mattelsa| mujer| Top| top-deportivo-azul-basico-66230| 42000| 46200| https://www.mattelsa.net/mujer/top-deportivo-azul-basico-66230| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66230-1.jpg|
Mattelsa| mujer| Leggings| leggings-deportivos-rosado-cortes-66229| 58000| 63800| https://www.mattelsa.net/mujer/leggings-deportivos-rosado-cortes-66229| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66229-1.jpg|
Mattelsa| mujer| Top| top-deportivo-rosado-basico-66228| 40000| 44000| https://www.mattelsa.net/mujer/top-deportivo-rosado-basico-66228| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66228-1.jpg|
Mattelsa| mujer| Shorts| shorts-deportivos-rosado-basico-66225| 46000| 50600| https://www.mattelsa.net/mujer/shorts-deportivos-rosado-basico-66225| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66225-1.jpg|
Mattelsa| mujer| Top| top-deportivo-rosado-basico-66224| 42000| 46200| https://www.mattelsa.net/mujer/top-deportivo-rosado-basico-66224| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66224-1.jpg|
